iter	Passed	Remaining
661	20245	11743
662	20277	11713
663	20305	11681
664	20337	11652
665	20370	11623
666	20402	11592
667	20434	11563
668	20466	11533
669	20498	11503
670	20534	11476
671	20568	11447
672	20606	11420
673	20638	11391
674	20671	11361
675	20705	11332
676	20737	11302
677	20769	11273
678	20799	11242
679	20836	11214
680	20869	11185
681	20904	11157
682	20938	11128
683	20970	11098
684	21002	11068
685	21040	11041
686	21071	11011
687	21102	10980
688	21139	10953
689	21172	10924
690	21206	10894
691	21239	10865
692	21271	10835
693	21303	10805
694	21336	10775
695	21367	10745
696	21400	10715
697	21436	10687
698	21472	10659
699	21505	10630
700	21540	10601
701	21573	10571
702	21605	10541
703	21640	10512
704	21671	10482
705	21704	10452
706	21739	10423
707	21774	10394
708	21809	10366
709	21841	10336
710	21872	10305
711	21904	10275
712	21937	10245
713	21970	10215
714	22005	10186
715	22042	10159
716	22077	10130
717	22109	10100
718	22141	10069
719	22171	10038
720	22204	10008
721	22236	9978
722	22267	9948
723	22300	9918
724	22336	9889
725	22370	9860
726	22404	9831
727	22438	9801
728	22470	9771
729	22506	9742
730	22538	9712
731	22568	9681
732	22600	9650
733	22639	9623
734	22673	9593
735	22707	9564
736	22737	9533
737	22769	9502
738	22803	9473
739	22836	9443
740	22868	9412
741	22902	9383
742	22937	9353
743	22967	9322
744	23003	9294
745	23036	9264
746	23068	9233
747	23099	9202
748	23131	9172
749	23163	9141
750	23196	9111
751	23232	9083
752	23266	9053
753	23302	9024
754	23335	8994
755	23365	8963
756	23397	8932
757	23428	8901
758	23460	8871
759	23493	8841
760	23528	8811
761	23562	8781
762	23597	8752
763	23630	8722
764	23661	8691
765	23693	8660
766	23725	8630
767	23756	8599
768	23785	8567
769	23820	8538
770	23855	8508
771	23890	8479
772	23920	8448
773	23951	8417
774	23985	8387
775	24019	8357
776	24051	8326
777	24082	8295
778	24119	8266
779	24152	8236
780	24186	8206
781	24221	8177
782	24250	8145
783	24280	8114
784	24311	8083
785	24342	8052
786	24373	8021
787	24411	7992
788	24445	7962
789	24481	7933
790	24512	7902
791	24541	7870
792	24573	7839
793	24604	7809
794	24636	7778
795	24668	7747
796	24707	7719
797	24739	7688
798	24774	7658
799	24808	7628
800	24857	7603
801	24889	7572
802	24921	7541
803	24952	7510
804	24989	7481
805	25023	7451
806	25058	7421
807	25090	7390
808	25123	7360
809	25155	7329
810	25186	7298
811	25217	7267
812	25251	7236
813	25290	7208
814	25320	7176
815	25355	7146
816	25387	7116
817	25420	7085
818	25451	7054
819	25487	7024
820	25517	6993
821	25548	6962
822	25586	6932
823	25618	6902
824	25653	6871
825	25686	6841
826	25717	6810
827	25749	6779
828	25781	6748
829	25811	6717
830	25843	6686
831	25879	6656
832	25910	6625
833	25947	6595
834	25981	6565
835	26015	6535
836	26048	6504
837	26080	6473
838	26112	6442
839	26144	6411
840	26180	6381
841	26214	6351
842	26246	6320
843	26279	6289
844	26310	6258
845	26341	6227
846	26374	6196
847	26404	6165
848	26435	6134
849	26471	6103
850	26506	6073
851	26540	6043
852	26572	6012
853	26604	5981
854	26635	5950
855	26668	5919
856	26699	5888
857	26729	5856
858	26764	5826
859	26798	5796
860	26833	5765
861	26864	5734
862	26894	5702
863	26927	5672
864	26959	5641
865	26993	5610
866	27026	5579
867	27062	5549
868	27096	5519
869	27131	5488
870	27162	5457
871	27193	5426
872	27217	5393
873	27248	5362
874	27277	5330
875	27306	5299
876	27340	5268
877	27375	5238
878	27408	5207
879	27439	5176
880	27472	5145
881	27494	5112
882	27528	5081
883	27559	5050
884	27591	5019
885	27624	4988
886	27659	4958
887	27693	4927
888	27726	4896
889	27757	4865
890	27788	4834
891	27820	4803
892	27852	4771
893	27882	4740
894	27918	4710
895	27942	4677
896	27976	4647
897	28012	4616
898	28044	4585
899	28074	4554
900	28106	4523
901	28136	4491
902	28168	4460
903	28202	4429
904	28237	4399
905	28271	4368
906	28304	4337
907	28334	4306
908	28366	4275
909	28396	4243
910	28425	4212
911	28455	4181
912	28489	4150
913	28524	4119
914	28557	4088
915	28591	4057
916	28621	4026
917	28653	3995
918	28684	3963
919	28715	3932
920	28745	3901
921	28779	3870
922	28812	3839
923	28848	3808
924	28878	3777
925	28907	3746
926	28938	3714
927	28973	3684
928	29004	3652
929	29035	3621
930	29068	3590
931	29104	3560
932	29136	3528
933	29168	3497
934	29200	3466
935	29232	3435
936	29265	3404
937	29296	3373
938	29326	3341
939	29360	3310
940	29395	3280
941	29430	3249
942	29461	3217
943	29492	3186
944	29522	3155
945	29551	3123
946	29580	3092
947	29612	3061
948	29653	3030
949	29687	3000
950	29722	2969
951	29752	2937
952	29783	2906
953	29816	2875
954	29846	2844
955	29877	2812
956	29908	2781
957	29945	2750
958	29979	2719
959	30015	2688
960	30046	2657
961	30077	2626
962	30107	2594
963	30139	2563
964	30168	2532
965	30198	2500
966	30234	2470
967	30268	2438
